Title,Name_Repo,Date_Created,Num_Comment,Label_Issue,Identity_Repo,Identity_Global,Body
(ppvehicle)通过export_model导出的模型配置文件与开源的模型配置文件不符,PaddlePaddle/PaddleDetection,2022-11-08 13:49:07,1,,7289,1440239250,"### 问题确认 Search before asking

- [X] 我已经查询[历史issue](https://github.com/PaddlePaddle/PaddleDetection/issues)，没有发现相似的bug。I have searched the [issues](https://github.com/PaddlePaddle/PaddleDetection/issues) and found no similar bug report.


### Bug组件 Bug Component

_No response_

### Bug描述 Describe the Bug


![1667914571764](https://user-images.githubusercontent.com/21285692/200578913-6856d1f2-207e-480a-b536-30021f72f682.png)

以[ppvehicle](https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.5/configs/ppvehicle)提供的[mot_ppyoloe_l_36e_ppvehicle.pdparams](https://paddledet.bj.bcebos.com/models/mot_ppyoloe_l_36e_ppvehicle.pdparams)为例：虽然文档声称**类别数为1**，但通过`python tools/export_model.py`方式导出的模型配置文件**infer_cfg.yml**如下：
```
mode: paddle
draw_threshold: 0.5
metric: COCO
use_dynamic_shape: false
arch: YOLO
min_subgraph_size: 3
Preprocess:
- interp: 2
  keep_ratio: false
  target_size:
  - 640
  - 640
  type: Resize
- is_scale: true
  mean:
  - 0.485
  - 0.456
  - 0.406
  std:
  - 0.229
  - 0.224
  - 0.225
  type: NormalizeImage
- type: Permute
label_list:
- person
- bicycle
- car
- motorcycle
- airplane
- bus
- train
- truck
- boat
- traffic light
- fire hydrant
- stop sign
- parking meter
- bench
- bird
- cat
- dog
- horse
- sheep
- cow
- elephant
- bear
- zebra
- giraffe
- backpack
- umbrella
- handbag
- tie
- suitcase
- frisbee
- skis
- snowboard
- sports ball
- kite
- baseball bat
- baseball glove
- skateboard
- surfboard
- tennis racket
- bottle
- wine glass
- cup
- fork
- knife
- spoon
- bowl
- banana
- apple
- sandwich
- orange
- broccoli
- carrot
- hot dog
- pizza
- donut
- cake
- chair
- couch
- potted plant
- bed
- dining table
- toilet
- tv
- laptop
- mouse
- remote
- keyboard
- cell phone
- microwave
- oven
- toaster
- sink
- refrigerator
- book
- clock
- vase
- scissors
- teddy bear
- hair drier
- toothbrush
```
========

而官方在[PPVehicle_QUICK_STARTED](https://github.com/PaddlePaddle/PaddleDetection/blob/release/2.5/deploy/pipeline/docs/tutorials/PPVehicle_QUICK_STARTED.md#%E8%BD%A6%E8%BE%86%E6%A3%80%E6%B5%8B)提供的[车辆检测(高精度)](https://bj.bcebos.com/v1/paddledet/models/pipeline/mot_ppyoloe_l_36e_ppvehicle.zip)中的模型配置文件**infer_cfg.yml**：
```
mode: paddle
draw_threshold: 0.5
metric: COCO
use_dynamic_shape: false
arch: YOLO
min_subgraph_size: 3
Preprocess:
- interp: 2
  keep_ratio: false
  target_size:
  - 640
  - 640
  type: Resize
- type: Permute
label_list:
- vehicle
```
 
========
二者除类别数不一致外，还存在图像归一化操作的区别，请确认该问题，是否模型上传错误？

### 复现环境 Environment

-OS: Linux
-Python: 3.7
-PaddleDetection: release/2.5
-PaddlePaddle: '2.3.2'

### Bug描述确认 Bug description confirmation

- [X] 我确认已经提供了Bug复现步骤、代码改动说明、以及环境信息，确认问题是可以复现的。I confirm that the bug replication steps, code change instructions, and environment information have been provided, and the problem can be reproduced.


### 是否愿意提交PR？ Are you willing to submit a PR?

- [X] 我愿意提交PR！I'd like to help by submitting a PR!"
cascase_rcnn模型导出部署后召回变差好多,PaddlePaddle/PaddleDetection,2022-11-08 03:07:56,0,,7286,1439386443,"### 问题确认 Search before asking

- [X] 我已经搜索过问题，但是没有找到解答。I have searched the question and found no related answer.


### 请提出你的问题 Please ask your question

我是使用cascade_rcnn_r50_vd_fpn_ssld_2x_coco.yml训练模型后用
python tools/export_model.py -c configs/cascade_rcnn/cascade_rcnn_r50_vd_fpn_ssld_2x_coco.yml --output_dir=./inference_model \
 -o weights=./output/cascade_rcnn_r50_vd_fpn_ssld_2x_coco//best_model.pdparams 
导出模型后部署效果和直接用
python3 tools/infer.py -c configs/cascade_rcnn/cascade_rcnn_r50_vd_fpn_ssld_2x_coco.yml  -o use_gpu=true weights=./output/cascade_rcnn_r50_vd_fpn_ssld_2x_coco/best_model.pdparams 
效果差了好多。
请问下可能是那个地方处理的有问题"
换一台设备运行相同代码和模型，结果错误,PaddlePaddle/PaddleDetection,2022-11-07 09:38:37,0,,7284,1438052953,"### 问题确认 Search before asking

- [X] 我已经搜索过问题，但是没有找到解答。I have searched the question and found no related answer.


### 请提出你的问题 Please ask your question

PaddleDetection的C++代码。使用训练的Picodet-m模型，本地测试没问题，然后代码和模型在另一台设备上运行，结果确出来很多框，位置也不对。     代码和模型已经paddle_inference都一致，请问为什么换了设备结果就错误了呢
本地没问题的是2080，换到3060上效果错误"
PicoDet-M 导出报错,PaddlePaddle/PaddleDetection,2022-11-07 09:36:40,0,,7283,1438050524,"### 问题确认 Search before asking

- [X] 我已经搜索过问题，但是没有找到解答。I have searched the question and found no related answer.


### 请提出你的问题 Please ask your question

我在训练代码的后面加了一段导出的代码，想要在训练晚后直接导出，不用再去执行tools\export_model.py

添加的代码：
```
    # FIXME: Temporarily solve the priority problem of FLAGS.opt
    merge_config(FLAGS.opt)
    check.check_config(cfg)
    check.check_gpu(cfg.use_gpu)
    check.check_npu(cfg.use_npu)
    check.check_version()

    run(FLAGS, cfg, logger, infer_output)
    export_model(FLAGS, cfg)         #<---------------- add code here
```

```
def export_model(FLAGS, cfg):
    #export_model
    print(""Export Model..."")
    paddle.set_device(""cpu"")
    best_model = os.path.join(cfg[""save_dir""], ""best_model.pdparams"")
    final_model = os.path.join(cfg[""save_dir""], ""model_final.pdparams"")

    if os.path.exists(best_model):
        cfg['pretrain_weights'] = "" ""
        cfg['weights'] = best_model
    else:
        cfg['pretrain_weights'] = "" ""
        cfg['weights'] = final_model

    exporter = Trainer(cfg, mode='test', logger=setup_logger('exporter'))
    # load weights
    if cfg.architecture in ['DeepSORT', 'ByteTrack']:
        exporter.load_weights_sde(cfg.det_weights, cfg.reid_weights)
    else:
        exporter.load_weights(cfg.weights)
    # export model
    exporter.export(""D:\\Output_Model"")
```

执行后报错：
```
AssertionError: In transformed code:

    File ""I:\DeepLearningSystem\PaddleDetection\ppdet\modeling\architectures\meta_arch.py"", line 74, in forward
        self.inputs = inp
    File ""I:\DeepLearningSystem\PaddleDetection\ppdet\modeling\architectures\picodet.py"", line 89, in get_pred
        bbox_pred, bbox_num = self._forward()
    File ""I:\DeepLearningSystem\PaddleDetection\ppdet\modeling\architectures\picodet.py"", line 65, in _forward
        def _forward(self):
            body_feats = self.backbone(self.inputs)
            fpn_feats = self.neck(body_feats)
            ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ <--- HERE
            head_outs = self.head(fpn_feats, self.export_post_process)
            if self.training or not self.export_post_process:

    File ""I:\DeepLearningSystem\PaddleDetection\paddle\fluid\dygraph\layers.py"", line 917, in __call__
        return self._dygraph_call_func(*inputs, **kwargs)
    File ""I:\DeepLearningSystem\PaddleDetection\paddle\fluid\dygraph\layers.py"", line 907, in _dygraph_call_func
        outputs = self.forward(*inputs, **kwargs)
    File ""C:\Users\admin\AppData\Local\Temp\tmp8k9cxdor.py"", line 12, in forward
        paddle.jit.dy2static.convert_assert(paddle.jit.dy2static.convert_call(
    File ""I:\DeepLearningSystem\PaddleDetection\paddle\fluid\dygraph\dygraph_to_static\convert_operators.py"", line 478, in convert_assert
        assert cond, message

    AssertionError
```
请问这个有办法解决吗"
问下，paddlepaddle-gpu版本要求在哪看呀,PaddlePaddle/PaddleDetection,2022-11-07 08:24:31,2,,7281,1437956770,"### 问题确认 Search before asking

- [X] 我已经搜索过问题，但是没有找到解答。I have searched the question and found no related answer.


### 请提出你的问题 Please ask your question

paddlepaddle-gpu版本要求在哪看呀，是安装最新的？"
JDE多目标跟踪,PaddlePaddle/PaddleDetection,2022-11-07 08:02:24,3,,7280,1437925820,"### 问题确认 Search before asking

- [X] 我已经搜索过问题，但是没有找到解答。I have searched the question and found no related answer.


### 请提出你的问题 Please ask your question

想问一下咋们JDE那里相较于原论文进行了哪些优化？"
车辆跨境跟踪方案配置文件中的参数如何使用,PaddlePaddle/PaddleDetection,2022-11-06 11:25:43,1,,7278,1437371824,"### 问题确认 Search before asking

- [X] 我已经搜索过问题，但是没有找到解答。I have searched the question and found no related answer.


### 请提出你的问题 Please ask your question

车辆跨境跟踪方案的配置文件mtmct_cfg.yml中有四类参数，运行demo时默认关闭，注释中有表示开启部分参数后可能可以提升跨境跟踪的精确率，但并未对其含义和使用方法有更多的解释，想请教一下1-4这四类参数的具体含义和使用方法，谢谢！
![微信截图_20221106191641](https://user-images.githubusercontent.com/98454125/200167840-33f93a97-d714-4192-9356-dd1d51c2edb5.png)"
目标检测中的fps,PaddlePaddle/PaddleDetection,2022-11-06 06:07:24,1,,7276,1437299194,"### 问题确认 Search before asking

- [X] 我已经搜索过问题，但是没有找到解答。I have searched the question and found no related answer.


### 请提出你的问题 Please ask your question

您好，我在使用voc数据集训练，请问怎么打印出来fps呢？"
请问在MOT中有没有评价HOTA这一个指标的方法？我看到只有关于MOTA、IDF1等指标,PaddlePaddle/PaddleDetection,2022-11-06 02:57:15,1,,7275,1437265651,"### 问题确认 Search before asking

- [X] 我已经搜索过问题，但是没有找到解答。I have searched the question and found no related answer.


### 请提出你的问题 Please ask your question

请问在MOT中有没有评价HOTA这一个指标的方法？我看到只有关于MOTA、IDF1等指标"
paddle trt下载链接BUG：跳转bug,PaddlePaddle/PaddleDetection,2022-11-05 03:56:09,2,,7273,1436797089,"### 问题确认 Search before asking

- [X] 我已经查询[历史issue](https://github.com/PaddlePaddle/PaddleDetection/issues)，没有发现相似的bug。I have searched the [issues](https://github.com/PaddlePaddle/PaddleDetection/issues) and found no similar bug report.


### Bug组件 Bug Component

_No response_

### Bug描述 Describe the Bug

bug地址：
https://paddleinference.paddlepaddle.org.cn/user_guides/download_lib.html#python
bug描述：
![image](https://user-images.githubusercontent.com/110536580/200099704-51c6615b-9bd1-491f-8b65-e6274fd5eaab.png)

bug现象：
![image](https://user-images.githubusercontent.com/110536580/200099713-13e2509c-5be8-4694-882a-26a7775b1459.png)


### 复现环境 Environment

普通网页bug

### Bug描述确认 Bug description confirmation

- [X] 我确认已经提供了Bug复现步骤、代码改动说明、以及环境信息，确认问题是可以复现的。I confirm that the bug replication steps, code change instructions, and environment information have been provided, and the problem can be reproduced.


### 是否愿意提交PR？ Are you willing to submit a PR?

- [ ] 我愿意提交PR！I'd like to help by submitting a PR!"
