,Title,Name_Repo,State,Assignees,Proposed_By,Closed_By,Date_Created,Date_Closed,Num_Comment,Label_Issue,Identity_Repo,Identity_Global,Body,Sentiment_Title,Sentiment_Body
0,Upstream Build Break - 20191030,tensorflow/addons,closed,,seanpmorgan,seanpmorgan,2019-10-30 15:20:05,2019-11-04 23:23:06,2.0,bug#build,649.0,514757335.0,"Just for visibility:
https://github.com/tensorflow/tensorflow/issues/33852",neutral,neutral
1,the version of pytorch,ShichenLiu/CondenseNet,open,,cambridgeinch,,2019-04-11 10:25:55,,1.0,,22.0,431947090.0,"There are several problems of train-loader from torch.vision using my torch version (1.0.1), so could you show the requirements.txt or a latest code version using torch 1.0.1 ?",neutral,neutral
2,Can't reproduce Text BERT and Image-Grid validation set evaluations from paper,facebookresearch/mmf,closed,,shivgodhia,shivgodhia,2021-01-18 03:49:13,2021-04-03 18:13:52,6.0,,737.0,787891721.0,"I have an issue reproducing the baselines in the Hateful Memes Paper. Specifically I am trying to get the baselines for Text BERT but I am also not able to get the baselines for Image-Grid
## Instructions To Reproduce the Issue:

I ran this exact command for Text BERT, and ran it twice and got the same result
```
mmf_run config=mmf/projects/hateful_memes/configs/unimodal/bert.yaml model=unimodal_text dataset=hateful_memes run_type=val checkpoint.resume_zoo=unimodal_text.hateful_memes.bert checkpoint.resume_pretrained=False
```

And this command for Image-Grid:
```
mmf_run config=mmf/projects/hateful_memes/configs/unimodal/image.yaml model=unimodal_image dataset=hateful_memes run_type=val checkpoint.resume_zoo=unimodal_image.hateful_memes.images checkpoint.resume_pretrained=False
```

Log of TEXT Bert validation evaluation I observed:
```
/Users/shiv/Library/Mobile Documents/com~apple~CloudDocs/Dissertation/hateful-memes/env/lib/python3.8/site-packages/mmf/utils/configuration.py:535: UserWarning: Device specified is 'cuda' but cuda is not present. Switching to CPU version.
  warnings.warn(
2021-01-18T11:38:43 | mmf.utils.configuration: Overriding option config to mmf/projects/hateful_memes/configs/unimodal/bert.yaml
2021-01-18T11:38:43 | mmf.utils.configuration: Overriding option model to unimodal_text
2021-01-18T11:38:43 | mmf.utils.configuration: Overriding option datasets to hateful_memes
2021-01-18T11:38:43 | mmf.utils.configuration: Overriding option run_type to val
2021-01-18T11:38:43 | mmf.utils.configuration: Overriding option checkpoint.resume_zoo to unimodal_text.hateful_memes.bert
2021-01-18T11:38:43 | mmf.utils.configuration: Overriding option checkpoint.resume_pretrained to False
2021-01-18T11:38:43 | mmf: Logging to: ./save/train.log
2021-01-18T11:38:43 | mmf_cli.run: Namespace(config_override=None, local_rank=None, opts=['config=mmf/projects/hateful_memes/configs/unimodal/bert.yaml', 'model=unimodal_text', 'dataset=hateful_memes', 'run_type=val', 'checkpoint.resume_zoo=unimodal_text.hateful_memes.bert', 'checkpoint.resume_pretrained=False'])
2021-01-18T11:38:44 | mmf_cli.run: Torch version: 1.6.0
2021-01-18T11:38:44 | mmf_cli.run: Using seed 43511271
2021-01-18T11:38:44 | mmf.trainers.mmf_trainer: Loading datasets
2021-01-18T11:38:50 | mmf.trainers.mmf_trainer: Loading model
2021-01-18T11:38:55 | mmf.trainers.mmf_trainer: Loading optimizer
2021-01-18T11:38:55 | mmf.trainers.mmf_trainer: Loading metrics
2021-01-18T11:38:55 | mmf.utils.checkpoint: Loading checkpoint
WARNING 2021-01-18T11:38:57 | mmf: Key data_parallel is not present in registry, returning default value of None
WARNING 2021-01-18T11:38:57 | mmf: Key distributed is not present in registry, returning default value of None
WARNING 2021-01-18T11:38:57 | mmf: Key data_parallel is not present in registry, returning default value of None
WARNING 2021-01-18T11:38:57 | mmf: Key distributed is not present in registry, returning default value of None
WARNING 2021-01-18T11:38:58 | mmf.utils.checkpoint: Missing keys ['base.encoder.embeddings.position_ids'] in the checkpoint.
If this is not your checkpoint, please open up an issue on MMF GitHub. 
Unexpected keys if any: []
WARNING 2021-01-18T11:38:58 | py.warnings: /Users/shiv/Library/Mobile Documents/com~apple~CloudDocs/Dissertation/hateful-memes/env/lib/python3.8/site-packages/mmf/utils/checkpoint.py:291: UserWarning: 'optimizer' key is not present in the checkpoint asked to be loaded. Skipping.
  warnings.warn(

WARNING 2021-01-18T11:38:58 | py.warnings: /Users/shiv/Library/Mobile Documents/com~apple~CloudDocs/Dissertation/hateful-memes/env/lib/python3.8/site-packages/mmf/utils/checkpoint.py:291: UserWarning: 'optimizer' key is not present in the checkpoint asked to be loaded. Skipping.
  warnings.warn(

WARNING 2021-01-18T11:38:58 | py.warnings: /Users/shiv/Library/Mobile Documents/com~apple~CloudDocs/Dissertation/hateful-memes/env/lib/python3.8/site-packages/mmf/utils/checkpoint.py:334: UserWarning: 'lr_scheduler' key is not present in the checkpoint asked to be loaded. Setting lr_scheduler's last_epoch to current_iteration.
  warnings.warn(

WARNING 2021-01-18T11:38:58 | py.warnings: /Users/shiv/Library/Mobile Documents/com~apple~CloudDocs/Dissertation/hateful-memes/env/lib/python3.8/site-packages/mmf/utils/checkpoint.py:334: UserWarning: 'lr_scheduler' key is not present in the checkpoint asked to be loaded. Setting lr_scheduler's last_epoch to current_iteration.
  warnings.warn(

2021-01-18T11:38:58 | mmf.utils.checkpoint: Checkpoint loaded.
2021-01-18T11:38:58 | mmf.utils.checkpoint: Current num updates: 0
2021-01-18T11:38:58 | mmf.utils.checkpoint: Current iteration: 0
2021-01-18T11:38:58 | mmf.utils.checkpoint: Current epoch: 0
2021-01-18T11:38:58 | mmf.trainers.mmf_trainer: ===== Model =====
2021-01-18T11:38:58 | mmf.trainers.mmf_trainer: UnimodalText(
  (base): UnimodalBase(
    (encoder): BertModelJit(
      (embeddings): BertEmbeddingsJit(
        (word_embeddings): Embedding(30522, 768, padding_idx=0)
        (position_embeddings): Embedding(512, 768)
        (token_type_embeddings): Embedding(2, 768)
        (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
        (dropout): Dropout(p=0.1, inplace=False)
      )
      (encoder): BertEncoderJit(
        (layer): ModuleList(
          (0): BertLayerJit(
            (attention): BertAttentionJit(
              (self): BertSelfAttentionJit(
                (query): Linear(in_features=768, out_features=768, bias=True)
                (key): Linear(in_features=768, out_features=768, bias=True)
                (value): Linear(in_features=768, out_features=768, bias=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
              (output): BertSelfOutput(
                (dense): Linear(in_features=768, out_features=768, bias=True)
                (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
            )
            (intermediate): BertIntermediate(
              (dense): Linear(in_features=768, out_features=3072, bias=True)
            )
            (output): BertOutput(
              (dense): Linear(in_features=3072, out_features=768, bias=True)
              (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
              (dropout): Dropout(p=0.1, inplace=False)
            )
          )
          (1): BertLayerJit(
            (attention): BertAttentionJit(
              (self): BertSelfAttentionJit(
                (query): Linear(in_features=768, out_features=768, bias=True)
                (key): Linear(in_features=768, out_features=768, bias=True)
                (value): Linear(in_features=768, out_features=768, bias=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
              (output): BertSelfOutput(
                (dense): Linear(in_features=768, out_features=768, bias=True)
                (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
            )
            (intermediate): BertIntermediate(
              (dense): Linear(in_features=768, out_features=3072, bias=True)
            )
            (output): BertOutput(
              (dense): Linear(in_features=3072, out_features=768, bias=True)
              (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
              (dropout): Dropout(p=0.1, inplace=False)
            )
          )
          (2): BertLayerJit(
            (attention): BertAttentionJit(
              (self): BertSelfAttentionJit(
                (query): Linear(in_features=768, out_features=768, bias=True)
                (key): Linear(in_features=768, out_features=768, bias=True)
                (value): Linear(in_features=768, out_features=768, bias=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
              (output): BertSelfOutput(
                (dense): Linear(in_features=768, out_features=768, bias=True)
                (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
            )
            (intermediate): BertIntermediate(
              (dense): Linear(in_features=768, out_features=3072, bias=True)
            )
            (output): BertOutput(
              (dense): Linear(in_features=3072, out_features=768, bias=True)
              (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
              (dropout): Dropout(p=0.1, inplace=False)
            )
          )
          (3): BertLayerJit(
            (attention): BertAttentionJit(
              (self): BertSelfAttentionJit(
                (query): Linear(in_features=768, out_features=768, bias=True)
                (key): Linear(in_features=768, out_features=768, bias=True)
                (value): Linear(in_features=768, out_features=768, bias=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
              (output): BertSelfOutput(
                (dense): Linear(in_features=768, out_features=768, bias=True)
                (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
            )
            (intermediate): BertIntermediate(
              (dense): Linear(in_features=768, out_features=3072, bias=True)
            )
            (output): BertOutput(
              (dense): Linear(in_features=3072, out_features=768, bias=True)
              (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
              (dropout): Dropout(p=0.1, inplace=False)
            )
          )
          (4): BertLayerJit(
            (attention): BertAttentionJit(
              (self): BertSelfAttentionJit(
                (query): Linear(in_features=768, out_features=768, bias=True)
                (key): Linear(in_features=768, out_features=768, bias=True)
                (value): Linear(in_features=768, out_features=768, bias=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
              (output): BertSelfOutput(
                (dense): Linear(in_features=768, out_features=768, bias=True)
                (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
            )
            (intermediate): BertIntermediate(
              (dense): Linear(in_features=768, out_features=3072, bias=True)
            )
            (output): BertOutput(
              (dense): Linear(in_features=3072, out_features=768, bias=True)
              (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
              (dropout): Dropout(p=0.1, inplace=False)
            )
          )
          (5): BertLayerJit(
            (attention): BertAttentionJit(
              (self): BertSelfAttentionJit(
                (query): Linear(in_features=768, out_features=768, bias=True)
                (key): Linear(in_features=768, out_features=768, bias=True)
                (value): Linear(in_features=768, out_features=768, bias=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
              (output): BertSelfOutput(
                (dense): Linear(in_features=768, out_features=768, bias=True)
                (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
            )
            (intermediate): BertIntermediate(
              (dense): Linear(in_features=768, out_features=3072, bias=True)
            )
            (output): BertOutput(
              (dense): Linear(in_features=3072, out_features=768, bias=True)
              (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
              (dropout): Dropout(p=0.1, inplace=False)
            )
          )
          (6): BertLayerJit(
            (attention): BertAttentionJit(
              (self): BertSelfAttentionJit(
                (query): Linear(in_features=768, out_features=768, bias=True)
                (key): Linear(in_features=768, out_features=768, bias=True)
                (value): Linear(in_features=768, out_features=768, bias=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
              (output): BertSelfOutput(
                (dense): Linear(in_features=768, out_features=768, bias=True)
                (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
            )
            (intermediate): BertIntermediate(
              (dense): Linear(in_features=768, out_features=3072, bias=True)
            )
            (output): BertOutput(
              (dense): Linear(in_features=3072, out_features=768, bias=True)
              (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
              (dropout): Dropout(p=0.1, inplace=False)
            )
          )
          (7): BertLayerJit(
            (attention): BertAttentionJit(
              (self): BertSelfAttentionJit(
                (query): Linear(in_features=768, out_features=768, bias=True)
                (key): Linear(in_features=768, out_features=768, bias=True)
                (value): Linear(in_features=768, out_features=768, bias=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
              (output): BertSelfOutput(
                (dense): Linear(in_features=768, out_features=768, bias=True)
                (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
            )
            (intermediate): BertIntermediate(
              (dense): Linear(in_features=768, out_features=3072, bias=True)
            )
            (output): BertOutput(
              (dense): Linear(in_features=3072, out_features=768, bias=True)
              (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
              (dropout): Dropout(p=0.1, inplace=False)
            )
          )
          (8): BertLayerJit(
            (attention): BertAttentionJit(
              (self): BertSelfAttentionJit(
                (query): Linear(in_features=768, out_features=768, bias=True)
                (key): Linear(in_features=768, out_features=768, bias=True)
                (value): Linear(in_features=768, out_features=768, bias=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
              (output): BertSelfOutput(
                (dense): Linear(in_features=768, out_features=768, bias=True)
                (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
            )
            (intermediate): BertIntermediate(
              (dense): Linear(in_features=768, out_features=3072, bias=True)
            )
            (output): BertOutput(
              (dense): Linear(in_features=3072, out_features=768, bias=True)
              (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
              (dropout): Dropout(p=0.1, inplace=False)
            )
          )
          (9): BertLayerJit(
            (attention): BertAttentionJit(
              (self): BertSelfAttentionJit(
                (query): Linear(in_features=768, out_features=768, bias=True)
                (key): Linear(in_features=768, out_features=768, bias=True)
                (value): Linear(in_features=768, out_features=768, bias=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
              (output): BertSelfOutput(
                (dense): Linear(in_features=768, out_features=768, bias=True)
                (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
            )
            (intermediate): BertIntermediate(
              (dense): Linear(in_features=768, out_features=3072, bias=True)
            )
            (output): BertOutput(
              (dense): Linear(in_features=3072, out_features=768, bias=True)
              (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
              (dropout): Dropout(p=0.1, inplace=False)
            )
          )
          (10): BertLayerJit(
            (attention): BertAttentionJit(
              (self): BertSelfAttentionJit(
                (query): Linear(in_features=768, out_features=768, bias=True)
                (key): Linear(in_features=768, out_features=768, bias=True)
                (value): Linear(in_features=768, out_features=768, bias=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
              (output): BertSelfOutput(
                (dense): Linear(in_features=768, out_features=768, bias=True)
                (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
            )
            (intermediate): BertIntermediate(
              (dense): Linear(in_features=768, out_features=3072, bias=True)
            )
            (output): BertOutput(
              (dense): Linear(in_features=3072, out_features=768, bias=True)
              (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
              (dropout): Dropout(p=0.1, inplace=False)
            )
          )
          (11): BertLayerJit(
            (attention): BertAttentionJit(
              (self): BertSelfAttentionJit(
                (query): Linear(in_features=768, out_features=768, bias=True)
                (key): Linear(in_features=768, out_features=768, bias=True)
                (value): Linear(in_features=768, out_features=768, bias=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
              (output): BertSelfOutput(
                (dense): Linear(in_features=768, out_features=768, bias=True)
                (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
                (dropout): Dropout(p=0.1, inplace=False)
              )
            )
            (intermediate): BertIntermediate(
              (dense): Linear(in_features=768, out_features=3072, bias=True)
            )
            (output): BertOutput(
              (dense): Linear(in_features=3072, out_features=768, bias=True)
              (LayerNorm): LayerNorm((768,), eps=1e-12, elementwise_affine=True)
              (dropout): Dropout(p=0.1, inplace=False)
            )
          )
        )
      )
      (pooler): BertPooler(
        (dense): Linear(in_features=768, out_features=768, bias=True)
        (activation): Tanh()
      )
    )
  )
  (classifier): MLPClassifer(
    (layers): ModuleList(
      (0): Linear(in_features=768, out_features=768, bias=True)
      (1): BatchNorm1d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU()
      (3): Dropout(p=0.5, inplace=False)
      (4): Linear(in_features=768, out_features=768, bias=True)
      (5): BatchNorm1d(768, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (6): ReLU()
      (7): Dropout(p=0.5, inplace=False)
      (8): Linear(in_features=768, out_features=2, bias=True)
    )
  )
  (losses): Losses(
    (losses): ModuleList(
      (0): MMFLoss(
        (loss_criterion): CrossEntropyLoss(
          (loss_fn): CrossEntropyLoss()
        )
      )
    )
  )
)
2021-01-18T11:38:58 | mmf.utils.general: Total Parameters: 110668034. Trained Parameters: 110668034
2021-01-18T11:38:58 | mmf.trainers.mmf_trainer: Starting inference on val set
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████| 5/5 [01:26<00:00, 17.23s/it]
2021-01-18T11:40:24 | mmf.trainers.callbacks.logistics: val/hateful_memes/cross_entropy: 0.7017, val/total_loss: 0.7017, val/hateful_memes/accuracy: 0.6167, val/hateful_memes/binary_f1: 0.4069, val/hateful_memes/roc_auc: 0.6119
2021-01-18T11:40:24 | mmf.trainers.callbacks.logistics: Finished run in 01m 29s 250ms
```

## Expected behavior:

For Text BERT, I expected Validation Accuracy to be 58.26%, and AUROC to be 64.65%. But I seem to have gotten 61.67% and 61.19% respectively. A similar error is gotten for Image-Grid:


```
val/hateful_memes/cross_entropy: 0.7144, val/total_loss: 0.7144, val/hateful_memes/accuracy: 0.6185, val/hateful_memes/binary_f1: 0.2256, val/hateful_memes/roc_auc: 0.5781
```


## Environment:

Provide your environment information using the following command:
```
Collecting environment information...
PyTorch version: 1.6.0
Is debug build: No
CUDA used to build PyTorch: None

OS: Mac OSX 11.1
GCC version: Could not collect
CMake version: version 3.19.2

Python version: 3.8
Is CUDA available: No
CUDA runtime version: No CUDA
GPU models and configuration: No CUDA
Nvidia driver version: No CUDA
cuDNN version: No CUDA

Versions of relevant libraries:
[pip3] numpy==1.19.5
[pip3] torch==1.6.0
[pip3] torchtext==0.5.0
[pip3] torchvision==0.7.0
[conda] Could not collect
```

",neutral,negative
3,cannot converge use tf.nn.l2_normalize,williamleif/GraphSAGE,open,,stevechoris,,2019-03-22 07:43:39,,1.0,,77.0,424083252.0,"I try graphsage with my own code and data.
it works well when not use tf.nn.l2_normalize after encoder and before decoder. but when i use tf.nn.l2_normalize to normlize the output vector to length of 1, the model just cannot converge and the loss does not decrease. what is the cause of this problem.",neutral,negative
4,Adding a regression head to regress a new feature,open-mmlab/mmdetection,open,jshilong,SamihaSara,,2021-06-11 02:59:18,,4.0,community help wanted#reimplementation,5337.0,918156264.0,"I am using **mmdetection project** for disease detection. I have converted my dataset in COCO Format and added a new field in the annotation file, called ""severity_score""(value ranges from 0 to 1). This I want to feed along with bounding box coordinates and class labels. I have run the following command to run **mmdetection's** FasterRCNN and FCOS models:

python tools/train.py configs/fcos/fcos_r50_caffe_fpn_gn-head_1x_coco.py
and
python tools/train.py configs/faster_rcnn/faster_rcnn_r101_fpn_2x_coco.py

Now I am trying to feed my dataset to regress a new feature in the annotation file. I understand I need to modify 
https://github.com/open-mmlab/mmdetection/blob/master/mmdet/models/roi_heads/bbox_heads/bbox_head.py.
But **mmdetection** seems a big project I am not quite getting to feed a new field from ground truth and add a new regression head which files should I look into. Any suggestion regarding this would be greatly appreciated.
Also, for a beginner, what kind of model would be convenient i.e. anchor free or anchor models? I would like this feature in the existing code, without registering new heads/modules if possible.


@hellock please if you have some time, I would be thankful for your help. 

",negative,positive
5,Question about the lane width,nutonomy/nuscenes-devkit,closed,,LuanDi1996,holger-motional,2020-06-03 09:18:31,2020-06-05 05:01:44,5.0,,409.0,629835608.0,"Hi Team

I am wondering if there some information about the lane width, and if I have a token, how can I know it is lane or lane connector? 

Thanks.",neutral,positive
6,Do you have Tensorflow implementation?,Alibaba-MIIL/ASL,closed,,guotong1988,guotong1988,2022-03-25 02:25:00,2022-03-28 01:46:12,1.0,,84.0,1180266738.0,Thank you very much!,neutral,positive
7,Pretrained model on Kinetics with input of Optical Flow,MIT-HAN-LAB/temporal-shift-module,closed,,misunusc,tonylins,2019-12-28 23:19:00,2020-01-11 07:29:51,3.0,,48.0,543291926.0,"Hi Dr Lin,
Did you train TSM on Kinetics dataset using optical flow as the input modality?
If so, could you please release the pre-trainded model on Kinetics with the input of optical flow?
Thank you!",neutral,positive
8,No module named 'cluster',xu-ji/IIC,closed,,shlokk,xu-ji,2019-03-30 20:44:58,2019-04-03 18:46:46,3.0,,1.0,427326318.0,"Hi, I'm getting import issues. Also, I have changed code to code1 as it was causing some dependency issues.
CUDA_VISIBLE_DEVICES=0,1,2,3 python -m code1.scripts.segmentation.segmentation_twohead --mode IID --dataset Coco164kCuratedFew --dataset_root /scratch/local/ssd/xuji/COCO/CocoStuff164k --model_ind 714 --arch SegmentationNet10aTwoHead --num_epochs 4800 --lr 0.0001 --lamb_A 1.0 --lamb_B 1.0 --num_sub_heads 1 --batch_sz 120 --num_dataloaders 1 --use_coarse_labels --output_k_A 15 --output_k_B 3 --gt_k 3 --pre_scale_all --pre_scale_factor 0.33 --input_sz 128 --half_T_side_sparse_min 0 --half_T_side_sparse_max 0 --half_T_side_dense 10 --include_rgb  --coco_164k_curated_version 6 --use_uncollapsed_loss --batchnorm_track > gnoded2_gpu0123_m714.out
Traceback (most recent call last):
  File ""/vulcan/scratch/shlok/Ana/envs/pytorch/lib/python3.5/runpy.py"", line 193, in _run_module_as_main
    ""__main__"", mod_spec)
  File ""/vulcan/scratch/shlok/Ana/envs/pytorch/lib/python3.5/runpy.py"", line 85, in _run_code
    exec(code, run_globals)
  File ""/vulcan/scratch/shlok/IIC/code1/scripts/segmentation/segmentation_twohead.py"", line 18, in <module>
    import code1.archs as archs
  File ""/vulcan/scratch/shlok/IIC/code1/archs/__init__.py"", line 1, in <module>
    from cluster import *
ImportError: No module named 'cluster'",neutral,neutral
9,Is it possible to expose the exp map to the Python API via a logsignature_to_signature function?,patrick-kidger/signatory,open,,Mithrillion,,2022-08-30 09:20:48,,2.0,,48.0,1355447546.0,"Somehow, I found myself needing to map a logsignature back to the full signature (where the logsignature can be in either the tensor algebra or a compressed form). It appears the relevant operations such as exp map already exist in the C++ code, so I wonder how difficult it would be to implement a `logsignature_to_signature` function.

Currently, I have tried two options. The `iisignature` package do offer a mapping from logsignature to signature, but this requires casting data from PyTorch to numpy and back, and potentially also moving data between devices, so it works, but is not ideal.

Alternatively, I could implement the truncated expansion of the exp map directly in PyTorch, following the template in `iisignature` and also bottler's [free-lie-algebra-py](https://github.com/bottler/free-lie-algebra-py), using the `exp(x)=1+x+x/2(x+x/3(x+...))` trick. However, this is significantly slower than computing via `iisignature`.

Therefore I guess my best bet is to expose the exp map within `signatory`'s C++ code to the Python API. However, I am not familiar with PyTorch in C++ and am not sure how much effort it would take to try to implement a `logsignature_to_signature` function.

Is it possible that such a functionality can be implemented fairly quickly? And is it possible for `logsignature_to_signature` to eventually be included in `signatory`?

Many thanks!",neutral,negative
